"id","name","edible_portion","food_type","processing_method","ingredient_category","food_category","ingredient_category2","food_category2"
8062,"Rainbow trout soup, milk based",100,"Dish","Boiled","Dish","Fish soups","Non-ingredient","Fish dishes"
8063,"Rainbow trout, breaded, fried",100,"Dish","Fried","Dish","Fish","Non-ingredient","Fish dishes"
8065,"Tuna salad with rice, without dressing",100,"Dish","Mixed","Dish","Mixed salads","Non-ingredient","Prepared salads"
8068,"Baltic herring, boiled",100,"Dish","Boiled","Dish","Fish","Non-ingredient","Fish dishes"
8069,"Creamy tuna gravy",100,"Dish","Boiled","Dish","Fish soups","Non-ingredient","Fish dishes"
8070,"Creamy shrimp gravy",100,"Dish","Boiled","Dish","Fish soups","Non-ingredient","Fish dishes"
8071,"Shrimp salad, sour cream dressing",100,"Dish","Mixed","Dish","Mixed salads","Non-ingredient","Prepared salads"
8072,"Fish pie, sour cream filling, shortcrust pastry",100,"Dish","Baked in oven","Dish","Savoury bakery","Non-ingredient","Cereals and cereal products"
8073,"Lasagne, salmon",100,"Dish","Baked in oven","Dish","Fish casseroles","Non-ingredient","Fish dishes"
8074,"Fish, average, fried",100,"Dish","Fried","Dish","Fish","Non-ingredient","Fish dishes"
8075,"Fish pasty, tuna pasty",100,"Dish","Baked in oven","Dish","Savoury bakery","Non-ingredient","Cereals and cereal products"
8077,"Fish loaf, cream",100,"Dish","Baked in oven","Dish","Other fish dishes","Non-ingredient","Fish dishes"
8078,"Rainbow trout fillet with cream, breaded, oven-baked",100,"Dish","Baked in oven","Dish","Fish","Non-ingredient","Fish dishes"
8088,"Rainbow trout fillet, breaded, oven-baked",100,"Dish","Baked in oven","Dish","Fish","Non-ingredient","Fish dishes"
8089,"Rainbow trout fillet, oven-baked",100,"Dish","Baked in oven","Dish","Fish","Non-ingredient","Fish dishes"
8092,"Rainbow trout and potato casserole, cooking cream",100,"Dish","Baked in oven","Dish","Fish casseroles","Non-ingredient","Fish dishes"
8093,"Salad with smoked fish, potato, apple and leek, without dressing",100,"Dish","Mixed","Dish","Mixed salads","Non-ingredient","Prepared salads"
8095,"Rainbow trout fillet with sour cream, oven-baked",100,"Dish","Baked in oven","Dish","Fish","Non-ingredient","Fish dishes"
8096,"Fish, average, deep-fried",100,"Dish","Fried","Dish","Other fish dishes","Non-ingredient","Fish dishes"
8097,"Fish and vegetable stew",100,"Dish","Baked in oven","Dish","Other fish dishes","Non-ingredient","Fish dishes"
8098,"Flounder, stewed, butter",100,"Dish","Boiled","Dish","Fish","Non-ingredient","Fish dishes"
8100,"Baltic herring with cream cheese",100,"Dish","Baked in oven","Dish","Fish","Non-ingredient","Fish dishes"
8111,"Squid, deep-fried",100,"Dish","Fried","Dish","Other fish dishes","Non-ingredient","Fish dishes"
8500,"Egg, fried",100,"Dish","Fried","Dish","Egg dishes","Non-ingredient","Egg dishes"
8501,"Egg yolk, fried",100,"Dish","Fried","Dish","Egg dishes","Non-ingredient","Egg dishes"
8502,"Egg white, fried",100,"Dish","Fried","Dish","Egg dishes","Non-ingredient","Egg dishes"
8503,"Omelette, plain, french omelette",100,"Dish","Fried","Dish","Egg dishes","Non-ingredient","Egg dishes"
8504,"Omelette, cheese omelette",100,"Dish","Fried","Dish","Egg dishes","Non-ingredient","Egg dishes"
8505,"Omelette, spinach omelette",100,"Dish","Fried","Dish","Egg dishes","Non-ingredient","Egg dishes"
8506,"Scrambled eggs, low-fat milk",100,"Dish","Fried","Dish","Egg dishes","Non-ingredient","Egg dishes"
8509,"Egg and butter spread, hard-boiled egg and butter mixture",100,"Dish","Mixed","Dish","Egg dishes","Non-ingredient","Egg dishes"
8510,"Hard-boiled egg and cottage cheese mixture",100,"Dish","Mixed","Dish","Egg dishes","Non-ingredient","Egg dishes"
8512,"Spinach and egg casserole, low-fat milk",100,"Dish","Baked in oven","Dish","Egg dishes","Non-ingredient","Egg dishes"
8513,"Egg, boiled",100,"Dish","Boiled","Dish","Egg dishes","Non-ingredient","Egg dishes"
8514,"Omelette roll, salmon filling",100,"Dish","Baked in oven","Dish","Egg dishes","Non-ingredient","Egg dishes"
8515,"Omelette roll, ham filling",100,"Dish","Baked in oven","Dish","Egg dishes","Non-ingredient","Egg dishes"
11001,"Root vegetable, average, light colored",100,"Food","No treatment","Root vegetables and tubers","Vegetables","Vegetables","Vegetable dishes"
11002,"Leaf vegetable, average, dark green",100,"Food","No treatment","Leaf vegetables","Vegetables","Vegetables","Vegetable dishes"
11004,"Roe, average",100,"Food","No treatment","Fish products","Fish products","Fish","Fish dishes"
11005,"4-grain flakes",100,"Food","No treatment","Wheat","Breakfast cereals","Cereals","Cereals and cereal products"
11006,"Rye bread, fine rye bread, water, fine rye and dark wheat flour",100,"Dish","Baked in oven","Dish","Rye bread","Non-ingredient","Cereals and cereal products"
11007,"Rose hip",100,"Food","No treatment","Berries","Berries","Fruits","Fruit and berry dishes"
11012,"Strawberry jam, 54% sugar, home-made",100,"Food","Canned","Canned fruits","Jams and marmalades","Fruits","Fruit and berry dishes"
11013,"Orange marmalade",100,"Food","Canned","Canned fruits","Jams and marmalades","Fruits","Fruit and berry dishes"
